weekday,Precinct,Number of Violation,Info
6,60,178,Precinct: 60
6,61,321,Precinct: 61
6,62,234,Precinct: 62
6,63,174,Precinct: 63
6,65,1,Precinct: 65
6,66,345,Precinct: 66
6,67,346,Precinct: 67
6,68,194,Precinct: 68
6,69,134,Precinct: 69
6,70,333,Precinct: 70
6,71,187,Precinct: 71
6,72,130,Precinct: 72
6,73,140,Precinct: 73
6,75,196,Precinct: 75
6,76,63,Precinct: 76
6,77,198,Precinct: 77
6,78,132,Precinct: 78
6,79,159,Precinct: 79
6,81,38,Precinct: 81
6,83,99,Precinct: 83
6,84,435,Precinct: 84
6,88,124,Precinct: 88
6,89,1,Precinct: 89
6,90,190,Precinct: 90
6,91,1,Precinct: 91
6,94,154,Precinct: 94
6,97,1,Precinct: 97
6,100,89,Precinct: 100
6,101,46,Precinct: 101
6,102,365,Precinct: 102
6,103,535,Precinct: 103
6,104,142,Precinct: 104
6,105,189,Precinct: 105
6,106,221,Precinct: 106
6,107,155,Precinct: 107
6,108,197,Precinct: 108
6,109,514,Precinct: 109
6,110,359,Precinct: 110
6,111,74,Precinct: 111
6,112,215,Precinct: 112
6,113,147,Precinct: 113
6,114,273,Precinct: 114
6,115,443,Precinct: 115
6,118,1,Precinct: 118
6,120,148,Precinct: 120
6,121,148,Precinct: 121
6,122,78,Precinct: 122
6,123,92,Precinct: 123
6,144,1,Precinct: 144
6,160,1,Precinct: 160
6,166,1,Precinct: 166
6,303,1,Precinct: 303
6,433,1,Precinct: 433
6,440,1,Precinct: 440
6,803,1,Precinct: 803
